Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Pur93,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83
920,7.91434,10.69065,55.57929,21.33534,32.12643,22.64398,15.0062,22.2433,183.78222,14.0467,7.0008,36.94676,56.36758,,,,,,,,,,,,,
930,7.91434,10.61255,55.57929,21.33534,32.12325,22.64398,14.98905,22.01078,183.78222,14.04624,7.00038,36.94676,56.36758,,,,,,,,,,,,,
940,7.91434,10.60628,55.57929,21.33534,32.12251,22.63591,14.98632,22.01078,183.77404,14.01414,6.99737,36.94676,56.36758,,,,,,,,,,,,,
950,7.90055,10.60628,55.57573,21.33534,32.10886,22.63591,14.94536,21.99641,183.77404,14.00337,6.99554,36.68022,56.36758,,,,,,,,,,,,,
960,7.88361,10.60628,55.57573,21.33534,32.04941,22.59813,14.94453,21.99641,183.77404,14.00337,6.99554,36.68022,56.36758,,,,,,,,,,,,,
970,7.87629,10.60628,55.57573,21.33534,32.04941,22.59813,14.91899,21.95922,183.77404,13.99328,6.99554,36.67804,56.3357,,,,,,,,,,,,,
980,7.87563,10.53521,55.57573,21.33534,32.04885,22.58419,14.90551,21.77478,183.77404,13.99328,6.99135,36.67804,56.3357,,,,,,,,,,,,,
990,7.86211,10.52393,55.46907,21.33534,32.04847,22.56988,14.89868,21.77478,183.77404,13.99191,6.98994,36.67804,56.3357,,,,,,,,,,,,,
1000,7.86211,10.52393,55.46907,21.33534,32.04847,22.56988,14.8829,21.77478,183.77404,13.99191,6.98679,36.67804,56.31232,,,,,,,,,,,,,
1010,7.85598,10.52393,55.46907,21.33534,32.03165,22.56218,14.84357,21.60427,183.77404,13.99191,6.98425,36.62567,56.31232,,,,,,,,,,,,,
1020,7.85598,10.52393,55.45929,21.33534,32.03165,22.52733,14.84357,21.31984,183.77404,13.99191,6.98402,36.62567,56.31232,,,,,,,,,,,,,
1030,7.85598,10.51973,55.45929,21.33534,32.02997,22.4591,14.83511,21.02793,183.77404,13.98021,6.98082,36.62567,56.04345,,,,,,,,,,,,,
1040,7.85598,10.47412,55.45929,21.33534,32.01875,22.3927,14.80868,21.01949,183.77404,13.98021,6.97094,36.62567,56.04345,,,,,,,,,,,,,
1050,7.84545,10.47412,55.45929,21.33534,31.99295,22.27164,14.78387,21.01139,183.76913,13.98021,6.96916,36.62567,56.04345,,,,,,,,,,,,,
1060,7.84393,10.46266,55.45929,21.33534,31.98846,22.21992,14.76366,21.00582,183.76913,13.98021,6.95213,36.62567,56.01051,,,,,,,,,,,,,
1070,7.84165,10.447,55.45929,21.33534,31.98828,22.21992,14.75706,21.00582,183.76913,13.98021,6.95213,36.62531,56.01051,,,,,,,,,,,,,
1080,7.84165,10.447,55.45929,21.33534,31.98697,22.21992,14.75084,21.00582,183.76913,13.98021,6.95213,36.62531,56.01051,,,,,,,,,,,,,
1090,7.84165,10.447,55.32329,21.33534,31.98117,22.21992,14.74967,20.99867,183.76913,13.98021,6.94089,36.53731,55.92337,,,,,,,,,,,,,
1100,7.83991,10.44133,55.32329,21.33534,31.97238,22.19571,14.74494,20.99867,183.76913,13.98021,6.94071,36.52167,55.92337,,,,,,,,,,,,,
1110,7.83991,10.44133,55.30907,21.33534,31.96865,22.15866,14.74494,20.99798,183.76913,13.98021,6.93276,36.52167,55.92337,,,,,,,,,,,,,
1120,7.8391,10.44133,55.30907,21.33534,31.96771,22.12637,14.74321,20.99798,183.76913,13.98021,6.93276,36.52167,55.92337,,,,,,,,,,,,,
1130,7.8391,10.42095,55.30907,21.33534,31.96435,22.10363,14.73925,20.99798,183.76913,13.95912,6.92989,36.50967,55.38671,,,,,,,,,,,,,
1140,7.8391,10.42095,55.24773,21.33534,31.96285,22.07648,14.73282,20.99798,183.76913,13.95912,6.92989,36.50204,55.38671,,,,,,,,,,,,,
1150,7.8391,10.40393,55.24773,21.33534,31.91555,22.07648,14.71874,20.99798,183.76913,13.95912,6.92458,36.50204,55.38671,,,,,,,,,,,,,
1160,7.83768,10.3972,55.24773,21.33534,31.83703,22.07648,14.71531,20.99667,183.76913,13.95545,6.92359,36.50204,55.37608,,,,,,,,,,,,,
1170,7.83768,10.3972,55.24773,21.33534,31.83273,22.07648,14.69623,20.80831,183.76913,13.93368,6.92006,36.49658,55.37608,,,,,,,,,,,,,
1180,7.83768,10.3972,55.24773,21.33534,31.82376,22.06805,14.68364,20.80622,183.76913,13.93368,6.9163,36.49658,55.37608,,,,,,,,,,,,,
1190,7.8082,10.3972,55.24773,21.33534,31.82376,22.06805,14.67775,20.80622,183.76913,13.93368,6.9163,36.49658,55.37608,,,,,,,,,,,,,
1200,7.80299,10.38379,55.24773,21.33534,31.82376,22.06474,14.65907,20.78688,183.76913,13.93368,6.9163,36.49658,55.37608,,,,,,,,,,,,,
1210,7.80109,10.38379,55.24773,21.33534,31.81497,22.05447,14.65847,20.77844,183.76913,13.92221,6.9163,36.49658,55.37608,,,,,,,,,,,,,
1220,7.7645,10.38219,55.24773,21.33534,31.81497,22.02879,14.63806,20.77756,183.76913,13.92221,6.91621,36.49658,55.36226,,,,,,,,,,,,,
1230,7.7512,10.36701,55.24773,21.33534,31.81497,22.00752,14.62371,20.77756,183.76913,13.91121,6.91527,36.49658,55.26875,,,,,,,,,,,,,
1240,7.7512,10.324,55.24773,21.33534,31.81067,22.00752,14.61781,20.77756,183.76913,13.91121,6.90892,36.49658,55.24749,,,,,,,,,,,,,
1250,7.74767,10.31531,55.24773,21.33534,31.81067,22.00752,14.59267,20.7719,183.76913,13.8947,6.90596,36.49658,55.24749,,,,,,,,,,,,,
1260,7.74767,10.28778,55.24773,21.33534,31.81067,22.00752,14.58741,20.74526,183.76913,13.8947,6.90309,36.49658,55.24749,,,,,,,,,,,,,
1270,7.74767,10.28376,55.24773,21.33534,31.80992,22.00165,14.56387,20.45848,183.76913,13.8947,6.90309,36.49658,55.24749,,,,,,,,,,,,,
1280,7.73654,10.28376,55.24507,21.33534,31.78768,21.99798,14.55535,20.45126,183.76913,13.8947,6.90309,36.49658,55.24749,,,,,,,,,,,,,
1290,7.73317,10.28034,55.24507,21.33534,30.59213,21.99798,14.54542,20.44438,183.72821,13.8947,6.90309,36.49658,55.00095,,,,,,,,,,,,,
1300,7.707,10.26279,55.24507,21.33534,30.59213,21.99541,14.536,20.44438,183.72821,13.88164,6.90309,36.49658,55.00095,,,,,,,,,,,,,
1310,7.70499,10.26184,55.24507,21.33534,30.58727,21.99431,14.5343,20.4287,183.72821,13.86971,6.90309,36.49658,55.00095,,,,,,,,,,,,,
1320,7.7032,10.25859,55.24507,21.33534,30.58689,21.94002,14.53064,20.4287,183.72821,13.86742,6.90252,36.49658,54.86173,,,,,,,,,,,,,
1330,7.7032,10.25859,55.24507,21.33534,30.58689,21.93892,14.52927,20.4287,183.72821,13.85894,6.90252,36.49658,54.86173,,,,,,,,,,,,,
1340,7.7032,10.25564,55.24507,20.35518,30.58652,21.93819,14.52728,20.41634,183.68075,13.85802,6.90252,36.49658,54.86173,,,,,,,,,,,,,
1350,7.68958,10.24991,55.24507,20.35518,30.55885,21.93819,14.52142,20.41634,183.68075,13.85802,6.89966,36.40022,54.86173,,,,,,,,,,,,,
1360,7.68958,10.22799,55.24507,20.08667,30.55735,21.92608,14.52078,20.40554,183.68075,13.85802,6.89923,36.40022,54.86173,,,,,,,,,,,,,
1370,7.68958,10.22799,55.24507,20.08667,30.54688,21.92608,14.52078,20.23886,183.6742,13.85802,6.895,36.14822,54.86173,,,,,,,,,,,,,
1380,7.68958,10.22185,55.24507,20.08667,30.54688,21.92608,14.51376,20.23886,183.6742,13.8539,6.8942,36.11331,54.86173,,,,,,,,,,,,,
1390,7.68502,10.22185,55.24507,20.08667,30.54688,21.92608,14.50876,20.23886,183.6742,13.8539,6.8942,36.11331,54.86173,,,,,,,,,,,,,
1400,7.68502,10.22185,55.24507,20.08667,30.47136,21.92535,14.5063,20.19505,183.6742,13.8539,6.89274,35.79185,54.86067,,,,,,,,,,,,,
1410,7.67725,10.21771,55.24507,20.08667,27.485,21.92204,14.48572,20.19505,183.6742,13.82593,6.89147,35.78895,54.86067,,,,,,,,,,,,,
1420,7.67725,10.2157,55.24507,20.08667,27.47248,21.92204,14.4733,20.19488,183.6742,13.82593,6.89147,35.78895,54.78841,,,,,,,,,,,,,
1430,7.67008,10.2157,55.24507,19.91558,27.47248,21.92204,14.46957,20.16884,183.6742,13.82593,6.89147,35.78095,54.76928,,,,,,,,,,,,,
1440,7.66732,10.2157,55.24507,19.91558,27.47248,21.92204,14.45442,20.06364,183.6742,13.82593,6.89147,35.78095,54.76928,,,,,,,,,,,,,
1450,7.66732,10.2157,55.24507,19.91274,27.47248,21.91764,14.43501,20.05389,183.6742,13.82593,6.88611,35.78095,54.76928,,,,,,,,,,,,,
1460,7.66732,10.2157,55.24507,19.91274,27.47248,21.90224,14.41343,20.05389,183.6742,13.82593,6.88611,35.7224,54.76928,,,,,,,,,,,,,
1470,7.66732,10.2157,55.24507,19.87023,27.47248,21.90224,14.39681,20.04988,183.6742,13.82593,6.88611,35.7224,54.76928,,,,,,,,,,,,,
1480,7.66732,10.21068,55.24507,19.87023,27.47248,21.90224,14.38956,20.04988,183.6742,13.82593,6.88042,35.7224,54.76928,,,,,,,,,,,,,
1490,7.66732,10.21068,55.24507,19.87023,27.47248,21.90224,14.38599,20.04535,183.6742,13.82593,6.88042,35.70058,54.76928,,,,,,,,,,,,,
1500,7.66732,10.20855,55.24507,19.87023,27.46818,21.86078,14.36968,20.01748,183.6742,13.82088,6.86994,35.70058,54.76928,,,,,,,,,,,,,
1510,7.66732,10.20855,55.24507,19.87023,27.46818,21.38683,14.36012,20.01748,183.6742,13.82042,6.86994,35.70058,54.76928,,,,,,,,,,,,,
1520,7.66732,10.10729,55.24507,19.87023,27.46799,21.36922,14.35915,20.01731,183.6742,13.82042,6.86994,35.6904,54.76503,,,,,,,,,,,,,
1530,7.66552,10.10682,55.24507,19.87023,27.45247,21.36922,14.35156,20.01731,183.6742,13.82042,6.8555,35.6904,54.69808,,,,,,,,,,,,,
1540,7.66552,10.09547,55.24507,19.87023,27.45247,21.19827,14.34897,19.98465,183.6742,13.82042,6.8555,35.6904,54.19755,,,,,,,,,,,,,
1550,7.66292,10.08691,55.11262,19.87023,27.43471,21.19424,14.33148,19.98465,183.6742,13.81905,6.85414,35.6904,54.19755,,,,,,,,,,,,,
1560,7.66172,10.06345,55.11262,19.87023,27.43471,21.19424,14.32942,19.98465,183.6742,13.81905,6.85414,35.6904,54.19755,,,,,,,,,,,,,
1570,7.65961,10.05087,55.11262,19.87023,27.42742,21.1924,14.30754,19.90758,183.6742,13.81905,6.84939,35.67149,54.19755,,,,,,,,,,,,,
