Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83,test,test1
1240,8.22489,9.17736,55.63262,18.06223,25.69233,20.12197,20.71573,174.96062,14.39768,5.91475,35.87513,49.65344,,,,,,,,,,,,,,13.82776084,14.09713269
1250,8.15442,9.16129,54.9384,19.2064,25.63737,20.21588,20.91864,175.25685,14.36696,5.92251,35.96749,49.79691,,,,,,,,,,,,,,13.70121339,14.16224044
1260,8.13189,9.16649,55.78996,19.02078,25.57979,20.14105,20.38533,176.46144,14.43276,5.91461,34.60931,49.87555,,,,,,,,,,,,,,13.67714186,14.16246969
1270,8.2326,9.27998,54.95707,18.54044,25.56651,19.41361,20.18965,176.1161,14.43711,5.91762,35.1704,49.96269,,,,,,,,,,,,,,13.77457423,14.14412948
1280,8.23038,9.26243,55.15084,18.67222,25.60989,19.30282,20.3599,177.58419,14.37636,5.89956,35.16822,52.00307,,,,,,,,,,,,,,13.83945273,14.13862742
1290,8.21517,9.22716,54.88596,19.74873,25.24832,19.92204,20.91107,176.18812,14.4715,5.91071,34.74749,51.54505,,,,,,,,,,,,,,13.88392774,14.19869161
1300,8.18336,9.176,55.51173,19.53371,28.04679,20.05961,21.19871,176.23722,14.54005,5.92608,35.81767,51.53867,,,,,,,,,,,,,,13.89928767,14.18058065
1310,8.1668,9.11952,55.92773,20.22234,28.01127,19.90187,20.78462,179.01136,14.45614,5.88085,34.20422,51.79159,,,,,,,,,,,,,,13.78191032,14.1590309
1320,8.14508,9.14327,56.45396,20.16141,27.86339,19.19461,20.35128,181.03427,14.38828,5.88066,36.37331,51.79053,,,,,,,,,,,,,,13.85618817,14.31377643
1330,8.17565,9.15355,56.95796,21.24643,27.17167,19.02733,20.83626,178.53018,14.4096,5.8697,36.95695,51.86705,,,,,,,,,,,,,,13.87796717,14.33509693
1340,8.14107,9.16265,57.51173,16.94214,25.05876,19.58125,21.02785,178.0981,14.41075,5.87628,39.21076,51.89893,,,,,,,,,,,,,,13.91694012,14.34678881
1350,8.09644,9.1656,58.68418,16.61306,25.13279,19.79989,20.86212,175.82805,14.39929,5.85113,39.94858,52.01157,,,,,,,,,,,,,,13.91350133,14.33463842
1360,8.06473,9.18138,59.80418,17.37962,24.89555,19.63848,20.73629,176.15375,14.30965,5.8816,38.44422,52.00413,,,,,,,,,,,,,,13.83853572,14.37040183
1370,7.90267,9.08785,59.22373,17.51742,24.92135,19.84758,20.37122,176.36487,14.38118,5.92411,36.79913,52.0137,,,,,,,,,,,,,,13.76288235,14.41464759
1380,7.9119,9.12141,59.28862,17.73421,25.43415,19.81603,20.836,176.56455,14.34771,5.92669,37.8384,51.67363,,,,,,,,,,,,,,13.80323081,14.21657331
